"parentTerm","parent_size","ID","cluster","parent","parentSimScore","score","size","term","Description","Freq"
"response to glucocorticoid",69,"GO:0060766",24,"GO:0051384",0.72,1,16,"negative regulation of androgen receptor signaling pathway","negative regulation of androgen
receptor signaling pathway",1
"response to glucocorticoid",69,"GO:0051384",24,"GO:0051384",0.999,3,59,"response to glucocorticoid","response to glucocorticoid",3
"response to glucocorticoid",69,"GO:0030518",24,"GO:0051384",0.843,1,7,"intracellular steroid hormone receptor signaling pathway","intracellular steroid hormone receptor
signaling pathway",1
"response to glucocorticoid",69,"GO:0006986",24,"GO:0051384",0.425,1,53,"response to unfolded protein","response to unfolded protein",1
"response to glucocorticoid",69,"GO:0070848",24,"GO:0051384",0.483,1,15,"response to growth factor","response to growth factor",1
"response to glucocorticoid",69,"GO:0030513",24,"GO:0051384",0.497,1,33,"positive regulation of BMP signaling pathway","positive regulation of BMP
signaling pathway",1
"response to glucocorticoid",69,"GO:0071347",24,"GO:0051384",0.417,1,85,"cellular response to interleukin-1","cellular response to interleukin-1",1
"response to glucocorticoid",69,"GO:0030514",24,"GO:0051384",0.523,1,63,"negative regulation of BMP signaling pathway","negative regulation of BMP
signaling pathway",1
"response to glucocorticoid",69,"GO:0035924",24,"GO:0051384",0.397,2,42,"cellular response to vascular endothelial growth factor stimulus","cellular response to vascular
endothelial growth factor stimulus",2
"response to glucocorticoid",69,"GO:0051591",24,"GO:0051384",0.653,2,46,"response to cAMP","response to cAMP",2
"response to glucocorticoid",69,"GO:0032870",24,"GO:0051384",0.761,1,42,"cellular response to hormone stimulus","cellular response to hormone stimulus",1
"response to glucocorticoid",69,"GO:0044321",24,"GO:0051384",0.588,1,8,"response to leptin","response to leptin",1
"response to glucocorticoid",69,"GO:0070542",24,"GO:0051384",0.65,1,15,"response to fatty acid","response to fatty acid",1
"response to glucocorticoid",69,"GO:0035723",24,"GO:0051384",0.355,1,19,"interleukin-15-mediated signaling pathway","interleukin-15-mediated signaling pathway",1
"response to glucocorticoid",69,"GO:0030512",24,"GO:0051384",0.535,2,94,"negative regulation of transforming growth factor beta receptor signaling pathway","negative regulation of transforming growth factor
beta receptor signaling pathway",2
"response to glucocorticoid",69,"GO:0034620",24,"GO:0051384",0.417,1,30,"cellular response to unfolded protein","cellular response to unfolded protein",1
"response to glucocorticoid",69,"GO:0071377",24,"GO:0051384",0.583,1,28,"cellular response to glucagon stimulus","cellular response to glucagon stimulus",1
"response to glucocorticoid",69,"GO:0030520",24,"GO:0051384",0.787,1,22,"intracellular estrogen receptor signaling pathway","intracellular estrogen receptor signaling pathway",1
"response to glucocorticoid",69,"GO:0071363",24,"GO:0051384",0.481,1,47,"cellular response to growth factor stimulus","cellular response to growth
factor stimulus",1
"response to glucocorticoid",69,"GO:1904322",24,"GO:0051384",0.567,1,11,"cellular response to forskolin","cellular response to forskolin",1
"response to glucocorticoid",69,"GO:0009755",24,"GO:0051384",0.689,2,51,"hormone-mediated signaling pathway","hormone-mediated signaling pathway",2
"response to glucocorticoid",69,"GO:0009749",24,"GO:0051384",0.419,1,70,"response to glucose","response to glucose",1
"response to glucocorticoid",69,"GO:0032868",24,"GO:0051384",0.697,1,66,"response to insulin","response to insulin",1
"response to glucocorticoid",69,"GO:0071560",24,"GO:0051384",0.587,1,58,"cellular response to transforming growth factor beta stimulus","cellular response to transforming
growth factor beta stimulus",1
"response to glucocorticoid",69,"GO:0071549",24,"GO:0051384",0.894,2,30,"cellular response to dexamethasone stimulus","cellular response to dexamethasone stimulus",2
"response to glucocorticoid",69,"GO:0070757",24,"GO:0051384",0.343,1,11,"interleukin-35-mediated signaling pathway","interleukin-35-mediated signaling pathway",1
"response to glucocorticoid",69,"GO:0044344",24,"GO:0051384",0.565,1,29,"cellular response to fibroblast growth factor stimulus","cellular response to fibroblast
growth factor stimulus",1
"response to glucocorticoid",69,"GO:0071361",24,"GO:0051384",0.348,3,14,"cellular response to ethanol","cellular response to ethanol",3
"response to glucocorticoid",69,"GO:0070555",24,"GO:0051384",0.422,1,37,"response to interleukin-1","response to interleukin-1",1
"response to glucocorticoid",69,"GO:0043200",24,"GO:0051384",0.406,1,33,"response to amino acid","response to amino acid",1
"response to glucocorticoid",69,"GO:0038084",24,"GO:0051384",0.38,1,14,"vascular endothelial growth factor signaling pathway","vascular endothelial growth factor
signaling pathway",1
"response to glucocorticoid",69,"GO:1904646",24,"GO:0051384",0.509,1,47,"cellular response to amyloid-beta","cellular response to amyloid-beta",1
"response to glucocorticoid",69,"GO:0043434",24,"GO:0051384",0.725,1,48,"response to peptide hormone","response to peptide hormone",1
"response to glucocorticoid",69,"GO:0014070",24,"GO:0051384",0.8,1,46,"response to organic cyclic compound","response to organic cyclic compound",1
"response to glucocorticoid",69,"GO:0019221",24,"GO:0051384",0.484,1,330,"cytokine-mediated signaling pathway","cytokine-mediated signaling pathway",1
"response to glucocorticoid",69,"GO:0071320",24,"GO:0051384",0.628,1,60,"cellular response to cAMP","cellular response to cAMP",1
"response to glucocorticoid",69,"GO:1904645",24,"GO:0051384",0.384,2,16,"response to amyloid-beta","response to amyloid-beta",2
"response to glucocorticoid",69,"GO:0071548",24,"GO:0051384",0.911,1,10,"response to dexamethasone","response to dexamethasone",1
"response to glucocorticoid",69,"GO:0071356",24,"GO:0051384",0.434,3,138,"cellular response to tumor necrosis factor","cellular response to tumor
necrosis factor",3
"response to glucocorticoid",69,"GO:0071364",24,"GO:0051384",0.508,1,46,"cellular response to epidermal growth factor stimulus","cellular response to epidermal
growth factor stimulus",1
"response to glucocorticoid",69,"GO:0033146",24,"GO:0051384",0.766,1,15,"regulation of intracellular estrogen receptor signaling pathway","regulation of intracellular estrogen
receptor signaling pathway",1
"response to glucocorticoid",69,"GO:0070498",24,"GO:0051384",0.401,1,107,"interleukin-1-mediated signaling pathway","interleukin-1-mediated signaling pathway",1
"response to glucocorticoid",69,"GO:0007179",24,"GO:0051384",0.579,2,134,"transforming growth factor beta receptor signaling pathway","transforming growth factor beta
receptor signaling pathway",2
"response to glucocorticoid",69,"GO:0071300",24,"GO:0051384",0.639,2,71,"cellular response to retinoic acid","cellular response to retinoic acid",2
"response to glucocorticoid",69,"GO:0032355",24,"GO:0051384",0.67,2,99,"response to estradiol","response to estradiol",2
"response to glucocorticoid",69,"GO:0071346",24,"GO:0051384",0.418,2,104,"cellular response to interferon-gamma","cellular response to interferon-gamma",2
"response to glucocorticoid",69,"GO:0033574",24,"GO:0051384",0.614,1,30,"response to testosterone","response to testosterone",1
"response to glucocorticoid",69,"GO:0070098",24,"GO:0051384",0.398,1,77,"chemokine-mediated signaling pathway","chemokine-mediated signaling pathway",1
"response to glucocorticoid",69,"GO:0034341",24,"GO:0051384",0.422,1,28,"response to interferon-gamma","response to interferon-gamma",1
"response to glucocorticoid",69,"GO:0071398",24,"GO:0051384",0.631,1,26,"cellular response to fatty acid","cellular response to fatty acid",1
"response to glucocorticoid",69,"GO:0032570",24,"GO:0051384",0.769,1,42,"response to progesterone","response to progesterone",1
"response to glucocorticoid",69,"GO:0071397",24,"GO:0051384",0.59,1,21,"cellular response to cholesterol","cellular response to cholesterol",1
"response to glucocorticoid",69,"GO:0071392",24,"GO:0051384",0.614,1,39,"cellular response to estradiol stimulus","cellular response to estradiol stimulus",1
"regulation of cholesterol biosynthetic process",51,"GO:0019369",5,"GO:0045540",0.467,1,28,"arachidonic acid metabolic process","arachidonic acid metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0046470",5,"GO:0045540",0.484,1,15,"phosphatidylcholine metabolic process","phosphatidylcholine metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0006641",5,"GO:0045540",0.49,2,36,"triglyceride metabolic process","triglyceride metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0042572",5,"GO:0045540",0.682,2,49,"retinol metabolic process","retinol metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0016042",5,"GO:0045540",0.533,1,87,"lipid catabolic process","lipid catabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0042759",5,"GO:0045540",0.579,2,23,"long-chain fatty acid biosynthetic process","long-chain fatty acid biosynthetic
process",2
"regulation of cholesterol biosynthetic process",51,"GO:0006694",5,"GO:0045540",0.859,1,28,"steroid biosynthetic process","steroid biosynthetic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0045540",5,"GO:0045540",1,5,33,"regulation of cholesterol biosynthetic process","regulation of cholesterol biosynthetic process",5
"regulation of cholesterol biosynthetic process",51,"GO:0006636",5,"GO:0045540",0.608,1,19,"unsaturated fatty acid biosynthetic process","unsaturated fatty acid biosynthetic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0043651",5,"GO:0045540",0.426,2,17,"linoleic acid metabolic process","linoleic acid metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0009395",5,"GO:0045540",0.458,1,11,"phospholipid catabolic process","phospholipid catabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0006644",5,"GO:0045540",0.554,1,64,"phospholipid metabolic process","phospholipid metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0008203",5,"GO:0045540",0.893,2,80,"cholesterol metabolic process","cholesterol metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0006633",5,"GO:0045540",0.662,2,51,"fatty acid biosynthetic process","fatty acid biosynthetic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0046475",5,"GO:0045540",0.443,1,19,"glycerophospholipid catabolic process","glycerophospholipid catabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0019433",5,"GO:0045540",0.455,1,34,"triglyceride catabolic process","triglyceride catabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0019432",5,"GO:0045540",0.586,1,32,"triglyceride biosynthetic process","triglyceride biosynthetic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0008202",5,"GO:0045540",0.803,1,50,"steroid metabolic process","steroid metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0006631",5,"GO:0045540",0.548,1,59,"fatty acid metabolic process","fatty acid metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0016125",5,"GO:0045540",0.88,2,24,"sterol metabolic process","sterol metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0001523",5,"GO:0045540",0.495,1,69,"retinoid metabolic process","retinoid metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0006699",5,"GO:0045540",0.76,2,44,"bile acid biosynthetic process","bile acid biosynthetic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0046889",5,"GO:0045540",0.828,2,17,"positive regulation of lipid biosynthetic process","positive regulation of lipid
biosynthetic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0001516",5,"GO:0045540",0.584,2,17,"prostaglandin biosynthetic process","prostaglandin biosynthetic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0006629",5,"GO:0045540",0.621,2,130,"lipid metabolic process","lipid metabolic process",2
"regulation of cholesterol biosynthetic process",51,"GO:0046488",5,"GO:0045540",0.512,1,10,"phosphatidylinositol metabolic process","phosphatidylinositol metabolic process",1
"regulation of cholesterol biosynthetic process",51,"GO:0006695",5,"GO:0045540",0.942,4,60,"cholesterol biosynthetic process","cholesterol biosynthetic process",4
"regulation of cholesterol biosynthetic process",51,"GO:0016126",5,"GO:0045540",0.932,4,17,"sterol biosynthetic process","sterol biosynthetic process",4
"regulation of cholesterol biosynthetic process",51,"GO:0001676",5,"GO:0045540",0.494,2,23,"long-chain fatty acid metabolic process","long-chain fatty acid metabolic
process",2
"sensory perception of smell",37,"GO:0045987",12,"GO:0007608",0.5,2,17,"positive regulation of smooth muscle contraction","positive regulation of smooth
muscle contraction",2
"sensory perception of smell",37,"GO:0051930",12,"GO:0007608",0.688,1,31,"regulation of sensory perception of pain","regulation of sensory perception
of pain",1
"sensory perception of smell",37,"GO:0042311",12,"GO:0007608",0.497,2,20,"vasodilation","vasodilation",2
"sensory perception of smell",37,"GO:0086091",12,"GO:0007608",0.508,2,46,"regulation of heart rate by cardiac conduction","regulation of heart rate
by cardiac conduction",2
"sensory perception of smell",37,"GO:0050892",12,"GO:0007608",0.508,1,15,"intestinal absorption","intestinal absorption",1
"sensory perception of smell",37,"GO:0043116",12,"GO:0007608",0.465,1,13,"negative regulation of vascular permeability","negative regulation of vascular permeability",1
"sensory perception of smell",37,"GO:0086004",12,"GO:0007608",0.512,1,14,"regulation of cardiac muscle cell contraction","regulation of cardiac muscle
cell contraction",1
"sensory perception of smell",37,"GO:0007601",12,"GO:0007608",0.789,1,217,"visual perception","visual perception",1
"sensory perception of smell",37,"GO:0035810",12,"GO:0007608",0.467,1,14,"positive regulation of urine volume","positive regulation of urine volume",1
"sensory perception of smell",37,"GO:0045776",12,"GO:0007608",0.508,1,27,"negative regulation of blood pressure","negative regulation of blood pressure",1
"sensory perception of smell",37,"GO:0050877",12,"GO:0007608",0.857,1,55,"nervous system process","nervous system process",1
"sensory perception of smell",37,"GO:0086002",12,"GO:0007608",0.538,1,19,"cardiac muscle cell action potential involved in contraction","cardiac muscle cell action
potential involved in contraction",1
"sensory perception of smell",37,"GO:0008016",12,"GO:0007608",0.62,1,35,"regulation of heart contraction","regulation of heart contraction",1
"sensory perception of smell",37,"GO:0086064",12,"GO:0007608",0.494,1,14,"cell communication by electrical coupling involved in cardiac conduction","cell communication by electrical
coupling involved in cardiac conduction",1
"sensory perception of smell",37,"GO:0030049",12,"GO:0007608",0.508,1,43,"muscle filament sliding","muscle filament sliding",1
"sensory perception of smell",37,"GO:0150104",12,"GO:0007608",0.413,1,0,"transport across blood-brain barrier","transport across blood-brain barrier",1
"sensory perception of smell",37,"GO:0086045",12,"GO:0007608",0.442,1,5,"membrane depolarization during AV node cell action potential","membrane depolarization during AV
node cell action potential",1
"sensory perception of smell",37,"GO:0008217",12,"GO:0007608",0.581,1,63,"regulation of blood pressure","regulation of blood pressure",1
"sensory perception of smell",37,"GO:0019233",12,"GO:0007608",0.75,1,56,"sensory perception of pain","sensory perception of pain",1
"sensory perception of smell",37,"GO:0006936",12,"GO:0007608",0.63,2,115,"muscle contraction","muscle contraction",2
"sensory perception of smell",37,"GO:0002026",12,"GO:0007608",0.497,1,19,"regulation of the force of heart contraction","regulation of the force
of heart contraction",1
"sensory perception of smell",37,"GO:0045907",12,"GO:0007608",0.497,3,31,"positive regulation of vasoconstriction","positive regulation of vasoconstriction",3
"sensory perception of smell",37,"GO:0010614",12,"GO:0007608",0.505,1,21,"negative regulation of cardiac muscle hypertrophy","negative regulation of cardiac
muscle hypertrophy",1
"sensory perception of smell",37,"GO:0050966",12,"GO:0007608",0.636,1,13,"detection of mechanical stimulus involved in sensory perception of pain","detection of mechanical stimulus involved in
sensory perception of pain",1
"sensory perception of smell",37,"GO:0007605",12,"GO:0007608",0.763,1,143,"sensory perception of sound","sensory perception of sound",1
"sensory perception of smell",37,"GO:0007608",12,"GO:0007608",0.996,4,152,"sensory perception of smell","sensory perception of smell",4
"sensory perception of smell",37,"GO:0006940",12,"GO:0007608",0.526,1,14,"regulation of smooth muscle contraction","regulation of smooth muscle contraction",1
"sensory perception of smell",37,"GO:0019229",12,"GO:0007608",0.52,1,18,"regulation of vasoconstriction","regulation of vasoconstriction",1
"oligodendrocyte differentiation",36,"GO:0042552",34,"GO:0048709",0.454,2,54,"myelination","myelination",2
"oligodendrocyte differentiation",36,"GO:0070593",34,"GO:0048709",0.459,1,17,"dendrite self-avoidance","dendrite self-avoidance",1
"oligodendrocyte differentiation",36,"GO:0048843",34,"GO:0048709",0.473,1,27,"negative regulation of axon extension involved in axon guidance","negative regulation of axon
extension involved in axon guidance",1
"oligodendrocyte differentiation",36,"GO:0045665",34,"GO:0048709",0.554,1,63,"negative regulation of neuron differentiation","negative regulation of neuron differentiation",1
"oligodendrocyte differentiation",36,"GO:0007417",34,"GO:0048709",0.763,2,143,"central nervous system development","central nervous system development",2
